date,region,product,quantity,price
2025-12-16,Latin America,Agricultural Produce,120,158.8
2025-12-16,Middle East,Electronics,128,832.06
2025-12-17,North America,Industrial Machinery,137,4805.65
2025-12-17,North America,Electronics,115,860.48
2025-12-17,Europe,Chemicals,109,1197.11
2025-12-17,Europe,Industrial Machinery,115,5487.76
2025-12-17,Europe,Textiles,129,380.41
2025-12-17,Asia Pacific,Industrial Machinery,130,5051.4
2025-12-17,Asia Pacific,Electronics,119,798.28
2025-12-17,Asia Pacific,Textiles,135,348.94
2025-12-17,Latin America,Industrial Machinery,137,4769.27
2025-12-17,Middle East,Textiles,118,327.19
2025-12-17,Middle East,Electronics,133,875.57
2025-12-17,Middle East,Industrial Machinery,134,4939.15
2025-12-18,North America,Chemicals,110,1161.3
2025-12-18,North America,Electronics,136,774.74
2025-12-18,North America,Textiles,119,328.02
2025-12-18,Europe,Chemicals,124,1290.07
2025-12-18,Europe,Agricultural Produce,114,163.26
2025-12-18,Europe,Industrial Machinery,111,4657.05
2025-12-18,Asia Pacific,Textiles,121,366.63
2025-12-18,Asia Pacific,Agricultural Produce,111,159.46
2025-12-18,Latin America,Chemicals,135,1240.95
2025-12-18,Latin America,Textiles,124,357.18
2025-12-18,Middle East,Electronics,112,766.68
2025-12-18,Middle East,Industrial Machinery,124,4654.81
2025-12-18,Middle East,Textiles,134,326.14
2025-12-19,North America,Industrial Machinery,110,5449.55
2025-12-19,North America,Agricultural Produce,122,159.79
2025-12-19,Europe,Textiles,111,375.92
2025-12-19,Europe,Industrial Machinery,131,4874.68
2025-12-19,Europe,Electronics,112,832.81
2025-12-19,Asia Pacific,Textiles,137,377.79
2025-12-19,Asia Pacific,Chemicals,113,1272.73
2025-12-19,Asia Pacific,Electronics,114,770.69
2025-12-19,Latin America,Textiles,124,383.46
2025-12-19,Latin America,Electronics,124,725.84
2025-12-19,Latin America,Industrial Machinery,114,4592.44
2025-12-19,Middle East,Industrial Machinery,112,5078.48
2025-12-19,Middle East,Agricultural Produce,130,155.25
2025-12-20,North America,Textiles,88,344.6
2025-12-20,Europe,Chemicals,78,1302.92
2025-12-20,Europe,Agricultural Produce,77,150.54
2025-12-20,Europe,Textiles,82,348.58
2025-12-20,Asia Pacific,Industrial Machinery,80,4862.22
2025-12-20,Asia Pacific,Textiles,61,347.6
2025-12-20,Asia Pacific,Electronics,74,786.34
2025-12-20,Latin America,Chemicals,84,1199.82
2025-12-20,Latin America,Agricultural Produce,71,135.93
2025-12-20,Latin America,Industrial Machinery,75,4921.05
2025-12-20,Middle East,Chemicals,68,1263.9
2025-12-20,Middle East,Electronics,91,819.56
2025-12-20,Middle East,Textiles,91,349.59
2025-12-21,North America,Textiles,72,378.05
2025-12-21,North America,Industrial Machinery,74,4565.68
2025-12-21,North America,Electronics,85,860.75
2025-12-21,Europe,Chemicals,77,1243.29
2025-12-21,Asia Pacific,Agricultural Produce,62,137.36
2025-12-21,Latin America,Agricultural Produce,79,152.05
2025-12-21,Latin America,Electronics,76,727.82
2025-12-21,Latin America,Industrial Machinery,85,5297.24
2025-12-21,Middle East,Industrial Machinery,62,5240.9
2025-12-22,North America,Electronics,118,852.82
2025-12-22,North America,Textiles,136,379.3
2025-12-22,North America,Agricultural Produce,119,141.97
2025-12-22,Europe,Industrial Machinery,141,5441.71
2025-12-22,Europe,Chemicals,119,1308.22
2025-12-22,Asia Pacific,Chemicals,130,1181.77
2025-12-22,Latin America,Textiles,112,382.29
2025-12-22,Latin America,Electronics,138,857.97
2025-12-22,Middle East,Chemicals,119,1128.63
2025-12-22,Middle East,Textiles,123,372.79
2025-12-23,North America,Textiles,131,379.85
2025-12-23,Europe,Chemicals,112,1118.33
2025-12-23,Asia Pacific,Electronics,113,767.09
2025-12-23,Asia Pacific,Agricultural Produce,137,161.5
2025-12-23,Asia Pacific,Textiles,118,367.21
2025-12-23,Latin America,Industrial Machinery,122,4963.51
2025-12-23,Latin America,Textiles,141,372.89
2025-12-23,Latin America,Agricultural Produce,120,149.39
2025-12-23,Middle East,Electronics,113,728.07
2025-12-24,North America,Agricultural Produce,116,144.78
2025-12-24,Europe,Chemicals,133,1136.94
2025-12-24,Europe,Electronics,126,788.17
2025-12-24,Europe,Industrial Machinery,122,5176.81
2025-12-24,Asia Pacific,Electronics,119,746.45
2025-12-24,Asia Pacific,Industrial Machinery,138,4914.69
2025-12-24,Asia Pacific,Chemicals,135,1108.23
2025-12-24,Latin America,Industrial Machinery,134,4773.94
2025-12-24,Middle East,Agricultural Produce,123,163.38
2025-12-24,Middle East,Electronics,116,864.9
2025-12-25,North America,Agricultural Produce,138,140.51
2025-12-25,North America,Electronics,130,843.33
2025-12-25,North America,Textiles,127,372.37
2025-12-25,Europe,Textiles,122,350.08
2025-12-25,Asia Pacific,Textiles,131,365.87
2025-12-25,Latin America,Industrial Machinery,140,4681.06
2025-12-25,Latin America,Chemicals,124,1246.03
2025-12-25,Latin America,Agricultural Produce,136,135.0
2025-12-25,Middle East,Electronics,143,727.0
2025-12-25,Middle East,Chemicals,113,1109.01
2025-12-25,Middle East,Industrial Machinery,122,4612.04
2025-12-26,North America,Chemicals,142,1107.54
2025-12-26,North America,Industrial Machinery,133,4812.09
2025-12-26,North America,Electronics,138,789.81
2025-12-26,Europe,Textiles,136,374.09
2025-12-26,Europe,Electronics,116,734.47
2025-12-26,Asia Pacific,Electronics,117,854.33
2025-12-26,Asia Pacific,Industrial Machinery,139,4832.56
2025-12-26,Asia Pacific,Textiles,138,382.96
2025-12-26,Latin America,Chemicals,118,1114.85
2025-12-26,Middle East,Chemicals,132,1196.54
2025-12-26,Middle East,Textiles,132,364.99
2025-12-26,Middle East,Electronics,140,736.02
2025-12-27,North America,Chemicals,66,1136.36
2025-12-27,North America,Agricultural Produce,80,145.2
2025-12-27,Europe,Textiles,66,359.0
2025-12-27,Europe,Industrial Machinery,75,5020.05
2025-12-27,Asia Pacific,Agricultural Produce,82,144.82
2025-12-27,Asia Pacific,Chemicals,70,1216.23
2025-12-27,Latin America,Industrial Machinery,79,5363.82
2025-12-27,Latin America,Textiles,76,330.36
2025-12-27,Latin America,Electronics,94,744.95
2025-12-27,Middle East,Chemicals,64,1252.49
2025-12-27,Middle East,Industrial Machinery,90,5190.28
2025-12-27,Middle East,Agricultural Produce,76,156.8
2025-12-28,North America,Chemicals,78,1220.56
2025-12-28,North America,Textiles,69,381.63
2025-12-28,Europe,Industrial Machinery,82,5263.99
2025-12-28,Europe,Textiles,69,335.99
2025-12-28,Asia Pacific,Textiles,83,376.04
2025-12-28,Latin America,Industrial Machinery,89,4922.66
2025-12-28,Middle East,Agricultural Produce,79,143.54
2025-12-29,North America,Agricultural Produce,133,148.57
2025-12-29,Europe,Industrial Machinery,124,4660.22
2025-12-29,Asia Pacific,Agricultural Produce,133,152.1
2025-12-29,Asia Pacific,Chemicals,133,1288.39
2025-12-29,Latin America,Agricultural Produce,141,143.47
2025-12-29,Latin America,Textiles,129,333.95
2025-12-29,Latin America,Electronics,117,759.81
2025-12-29,Middle East,Agricultural Produce,145,155.98
2025-12-29,Middle East,Textiles,124,320.97
2025-12-30,North America,Electronics,139,843.06
2025-12-30,North America,Textiles,126,344.07
2025-12-30,North America,Industrial Machinery,126,4749.2
2025-12-30,Europe,Textiles,136,353.93
2025-12-30,Asia Pacific,Agricultural Produce,145,138.92
2025-12-30,Asia Pacific,Textiles,138,317.37
2025-12-30,Asia Pacific,Electronics,139,866.88
2025-12-30,Latin America,Industrial Machinery,134,4893.43
2025-12-30,Latin America,Chemicals,123,1262.44
2025-12-30,Latin America,Electronics,138,781.6
2025-12-30,Middle East,Chemicals,143,1136.09
2025-12-31,North America,Agricultural Produce,134,152.48
2025-12-31,North America,Textiles,139,315.57
2025-12-31,Europe,Textiles,137,333.87
2025-12-31,Europe,Industrial Machinery,119,5446.46
2025-12-31,Europe,Agricultural Produce,145,149.9
2025-12-31,Asia Pacific,Agricultural Produce,122,163.76
2025-12-31,Asia Pacific,Industrial Machinery,138,4540.62
2025-12-31,Asia Pacific,Chemicals,127,1103.71
2025-12-31,Latin America,Agricultural Produce,122,146.23
2025-12-31,Middle East,Industrial Machinery,135,5057.06
2026-01-01,North America,Agricultural Produce,126,162.03
2026-01-01,Europe,Agricultural Produce,132,138.34
2026-01-01,Asia Pacific,Industrial Machinery,122,5220.33
2026-01-01,Asia Pacific,Chemicals,130,1149.79
2026-01-01,Latin America,Electronics,128,737.84
2026-01-01,Middle East,Chemicals,135,1086.66
2026-01-01,Middle East,Industrial Machinery,119,4642.73
2026-01-02,North America,Textiles,119,376.1
2026-01-02,North America,Chemicals,139,1151.92
2026-01-02,North America,Industrial Machinery,140,4916.8
2026-01-02,Europe,Textiles,118,319.19
2026-01-02,Europe,Electronics,139,780.98
2026-01-02,Europe,Chemicals,121,1223.77
2026-01-02,Asia Pacific,Electronics,147,853.7
2026-01-02,Latin America,Chemicals,130,1100.29
2026-01-02,Middle East,Textiles,147,350.02
2026-01-03,North America,Agricultural Produce,75,135.18
2026-01-03,North America,Textiles,87,369.42
2026-01-03,Europe,Textiles,98,342.42
2026-01-03,Asia Pacific,Chemicals,70,1145.55
2026-01-03,Latin America,Agricultural Produce,79,147.16
2026-01-03,Middle East,Electronics,78,877.03
2026-01-03,Middle East,Chemicals,85,1304.8
2026-01-04,North America,Chemicals,74,1232.23
2026-01-04,North America,Agricultural Produce,85,145.25
2026-01-04,Europe,Agricultural Produce,95,148.12
2026-01-04,Europe,Textiles,74,344.21
2026-01-04,Asia Pacific,Textiles,95,339.64
2026-01-04,Latin America,Textiles,92,331.15
2026-01-04,Latin America,Chemicals,97,1302.41
2026-01-04,Latin America,Agricultural Produce,68,141.11
2026-01-04,Middle East,Electronics,97,832.38
2026-01-05,North America,Industrial Machinery,132,4677.83
2026-01-05,North America,Electronics,145,808.26
2026-01-05,North America,Agricultural Produce,120,161.75
2026-01-05,Europe,Agricultural Produce,129,144.63
2026-01-05,Europe,Industrial Machinery,129,5223.41
2026-01-05,Europe,Electronics,130,733.42
2026-01-05,Asia Pacific,Textiles,146,383.77
2026-01-05,Asia Pacific,Industrial Machinery,130,4551.55
2026-01-05,Latin America,Industrial Machinery,134,4574.46
2026-01-05,Latin America,Textiles,146,368.57
2026-01-05,Middle East,Textiles,146,320.04
2026-01-05,Middle East,Industrial Machinery,131,5273.8
2026-01-06,North America,Industrial Machinery,121,4611.55
2026-01-06,North America,Agricultural Produce,140,142.68
2026-01-06,Europe,Textiles,120,379.52
2026-01-06,Europe,Agricultural Produce,137,148.16
2026-01-06,Europe,Electronics,129,859.5
2026-01-06,Asia Pacific,Textiles,119,329.89
2026-01-06,Asia Pacific,Industrial Machinery,131,4548.56
2026-01-06,Asia Pacific,Agricultural Produce,128,146.48
2026-01-06,Latin America,Textiles,125,381.79
2026-01-06,Latin America,Agricultural Produce,134,160.74
2026-01-06,Latin America,Chemicals,138,1281.15
2026-01-06,Middle East,Chemicals,146,1300.18
2026-01-06,Middle East,Agricultural Produce,128,153.39
2026-01-06,Middle East,Textiles,131,348.77
2026-01-07,North America,Electronics,136,722.95
2026-01-07,North America,Industrial Machinery,126,5012.6
2026-01-07,North America,Chemicals,123,1135.95
2026-01-07,Europe,Textiles,134,351.05
2026-01-07,Europe,Electronics,138,837.34
2026-01-07,Europe,Chemicals,138,1181.1
2026-01-07,Asia Pacific,Industrial Machinery,146,4733.26
2026-01-07,Asia Pacific,Electronics,120,821.86
2026-01-07,Latin America,Textiles,145,367.33
2026-01-07,Latin America,Industrial Machinery,120,4926.57
2026-01-07,Latin America,Electronics,128,726.67
2026-01-07,Middle East,Industrial Machinery,135,5257.39
2026-01-08,North America,Textiles,123,376.24
2026-01-08,North America,Chemicals,123,1120.48
2026-01-08,North America,Electronics,121,734.67
2026-01-08,Europe,Electronics,138,785.36
2026-01-08,Asia Pacific,Electronics,129,723.25
2026-01-08,Asia Pacific,Agricultural Produce,141,140.66
2026-01-08,Latin America,Textiles,128,359.84
2026-01-08,Latin America,Electronics,138,803.56
2026-01-08,Latin America,Chemicals,131,1199.99
2026-01-08,Middle East,Electronics,136,799.92
2026-01-08,Middle East,Chemicals,149,1164.53
2026-01-08,Middle East,Agricultural Produce,149,146.07
2026-01-09,North America,Industrial Machinery,130,4755.19
2026-01-09,Europe,Industrial Machinery,131,5298.17
2026-01-09,Asia Pacific,Agricultural Produce,144,145.53
2026-01-09,Latin America,Electronics,124,809.96
2026-01-09,Latin America,Industrial Machinery,121,4925.28
2026-01-09,Latin America,Textiles,145,325.58
2026-01-09,Middle East,Industrial Machinery,138,5325.15
2026-01-09,Middle East,Electronics,125,761.05
2026-01-09,Middle East,Textiles,121,375.3
2026-01-10,North America,Electronics,89,780.87
2026-01-10,North America,Agricultural Produce,90,161.84
2026-01-10,Europe,Chemicals,100,1308.58
2026-01-10,Europe,Industrial Machinery,101,5449.72
2026-01-10,Asia Pacific,Industrial Machinery,79,4944.46
2026-01-10,Asia Pacific,Chemicals,74,1116.43
2026-01-10,Latin America,Agricultural Produce,96,159.82
2026-01-10,Latin America,Electronics,74,846.85
2026-01-10,Middle East,Electronics,95,730.79
2026-01-11,North America,Industrial Machinery,72,4641.87
2026-01-11,North America,Chemicals,79,1290.82
2026-01-11,North America,Electronics,93,776.48
2026-01-11,Europe,Chemicals,80,1206.87
2026-01-11,Europe,Textiles,73,343.92
2026-01-11,Europe,Agricultural Produce,97,145.74
2026-01-11,Asia Pacific,Industrial Machinery,84,5391.35
2026-01-11,Asia Pacific,Textiles,100,367.37
2026-01-11,Asia Pacific,Chemicals,80,1082.47
2026-01-11,Latin America,Textiles,76,316.91
2026-01-11,Latin America,Chemicals,85,1139.63
2026-01-11,Middle East,Agricultural Produce,90,135.09
2026-01-11,Middle East,Industrial Machinery,76,4843.22
2026-01-12,North America,Textiles,150,325.47
2026-01-12,North America,Industrial Machinery,148,4751.52
2026-01-12,Europe,Industrial Machinery,138,4962.45
2026-01-12,Europe,Electronics,150,856.97
2026-01-12,Asia Pacific,Textiles,132,329.61
2026-01-12,Latin America,Chemicals,131,1254.65
2026-01-12,Middle East,Textiles,136,328.06
2026-01-12,Middle East,Industrial Machinery,127,4891.33
2026-01-13,North America,Industrial Machinery,126,4543.4
2026-01-13,Europe,Agricultural Produce,123,160.79
2026-01-13,Asia Pacific,Textiles,125,330.27
2026-01-13,Latin America,Agricultural Produce,150,151.43
2026-01-13,Latin America,Electronics,127,839.24
2026-01-13,Middle East,Textiles,136,378.38
2026-01-13,Middle East,Electronics,146,754.14
2026-01-13,Middle East,Chemicals,137,1086.7
2026-01-14,North America,Chemicals,140,1238.25
2026-01-14,Europe,Chemicals,150,1084.19
2026-01-14,Europe,Electronics,137,789.15
2026-01-14,Europe,Textiles,133,382.89
2026-01-14,Asia Pacific,Industrial Machinery,133,5468.65
2026-01-14,Latin America,Agricultural Produce,132,149.87
2026-01-14,Latin America,Industrial Machinery,137,4915.07
2026-01-14,Middle East,Electronics,136,855.52
2026-01-14,Middle East,Industrial Machinery,134,5455.99
2026-01-15,North America,Electronics,149,750.44
2026-01-15,Europe,Agricultural Produce,129,155.99
2026-01-15,Europe,Industrial Machinery,140,5146.02
2026-01-15,Asia Pacific,Electronics,133,855.4
2026-01-15,Asia Pacific,Industrial Machinery,150,4993.93
2026-01-15,Latin America,Industrial Machinery,151,5223.58
2026-01-15,Latin America,Agricultural Produce,154,149.39
2026-01-15,Latin America,Textiles,140,367.86
2026-01-15,Middle East,Agricultural Produce,141,148.23
2026-01-16,North America,Chemicals,124,1174.27
2026-01-16,North America,Agricultural Produce,138,139.78
2026-01-16,North America,Textiles,124,365.05
2026-01-16,Europe,Textiles,130,322.77
2026-01-16,Asia Pacific,Textiles,150,317.6
2026-01-16,Asia Pacific,Chemicals,131,1300.17
2026-01-16,Asia Pacific,Industrial Machinery,141,4622.38
2026-01-16,Latin America,Chemicals,130,1155.89
2026-01-16,Latin America,Electronics,129,839.3
2026-01-16,Latin America,Agricultural Produce,145,142.1
2026-01-16,Middle East,Industrial Machinery,139,4970.12
2026-01-16,Middle East,Chemicals,135,1199.19
2026-01-17,North America,Industrial Machinery,103,5050.17
2026-01-17,North America,Agricultural Produce,93,155.21
2026-01-17,North America,Textiles,77,357.14
2026-01-17,Europe,Agricultural Produce,97,150.02
2026-01-17,Europe,Industrial Machinery,90,4578.91
2026-01-17,Asia Pacific,Agricultural Produce,100,149.33
2026-01-17,Latin America,Industrial Machinery,83,5468.03
2026-01-17,Latin America,Agricultural Produce,81,152.24
2026-01-17,Middle East,Textiles,99,317.41
2026-01-17,Middle East,Industrial Machinery,79,5294.21
2026-01-18,North America,Electronics,103,764.16
2026-01-18,North America,Chemicals,105,1280.12
2026-01-18,Europe,Textiles,78,340.48
2026-01-18,Europe,Electronics,95,856.37
2026-01-18,Europe,Chemicals,87,1109.04
2026-01-18,Asia Pacific,Electronics,103,834.88
2026-01-18,Latin America,Electronics,102,790.38
2026-01-18,Middle East,Industrial Machinery,83,5457.22
2026-01-18,Middle East,Chemicals,96,1143.97
2026-01-19,North America,Industrial Machinery,128,5347.27
2026-01-19,North America,Textiles,143,333.39
2026-01-19,Europe,Chemicals,136,1175.41
2026-01-19,Europe,Industrial Machinery,128,4654.74
2026-01-19,Europe,Agricultural Produce,148,135.73
2026-01-19,Asia Pacific,Textiles,142,372.99
2026-01-19,Latin America,Electronics,137,754.07
2026-01-19,Middle East,Electronics,127,810.66
2026-01-20,North America,Textiles,126,341.17
2026-01-20,North America,Industrial Machinery,132,5282.08
2026-01-20,North America,Chemicals,144,1146.05
2026-01-20,Europe,Electronics,146,798.23
2026-01-20,Asia Pacific,Textiles,149,339.62
2026-01-20,Asia Pacific,Industrial Machinery,133,5482.59
2026-01-20,Latin America,Electronics,154,805.2
2026-01-20,Middle East,Textiles,129,341.13
2026-01-20,Middle East,Chemicals,127,1166.58
2026-01-21,North America,Agricultural Produce,152,148.49
2026-01-21,Europe,Electronics,133,865.51
2026-01-21,Europe,Textiles,138,321.6
2026-01-21,Asia Pacific,Textiles,149,339.46
2026-01-21,Asia Pacific,Industrial Machinery,132,4637.57
2026-01-21,Latin America,Electronics,142,795.26
2026-01-21,Middle East,Chemicals,130,1217.27
2026-01-21,Middle East,Agricultural Produce,134,157.99
2026-01-21,Middle East,Electronics,154,796.02
2026-01-22,North America,Textiles,152,333.48
2026-01-22,North America,Chemicals,148,1226.69
2026-01-22,North America,Electronics,148,750.89
2026-01-22,Europe,Chemicals,132,1083.72
2026-01-22,Europe,Textiles,152,383.5
2026-01-22,Asia Pacific,Electronics,137,745.57
2026-01-22,Asia Pacific,Textiles,157,359.03
2026-01-22,Asia Pacific,Industrial Machinery,134,4811.88
2026-01-22,Latin America,Agricultural Produce,154,144.43
2026-01-22,Latin America,Industrial Machinery,144,5338.9
2026-01-22,Latin America,Chemicals,145,1281.54
2026-01-22,Middle East,Industrial Machinery,130,5417.72
2026-01-22,Middle East,Textiles,127,382.32
2026-01-22,Middle East,Agricultural Produce,154,158.4
2026-01-23,North America,Electronics,128,869.4
2026-01-23,Europe,Industrial Machinery,129,4960.55
2026-01-23,Asia Pacific,Electronics,142,770.13
2026-01-23,Latin America,Industrial Machinery,139,4918.9
2026-01-23,Latin America,Chemicals,130,1094.49
2026-01-23,Middle East,Industrial Machinery,152,4996.2
2026-01-23,Middle East,Agricultural Produce,138,149.78
2026-01-23,Middle East,Electronics,135,798.14
2026-01-24,North America,Textiles,87,351.6
2026-01-24,North America,Electronics,86,876.94
2026-01-24,North America,Chemicals,91,1287.69
2026-01-24,Europe,Textiles,97,339.98
2026-01-24,Asia Pacific,Textiles,100,351.48
2026-01-24,Asia Pacific,Electronics,90,742.02
2026-01-24,Asia Pacific,Agricultural Produce,93,160.19
2026-01-24,Latin America,Chemicals,101,1237.78
2026-01-24,Middle East,Agricultural Produce,83,152.96
2026-01-25,North America,Industrial Machinery,81,5046.27
2026-01-25,North America,Chemicals,103,1091.75
2026-01-25,Europe,Textiles,89,382.58
2026-01-25,Asia Pacific,Electronics,94,769.39
2026-01-25,Latin America,Industrial Machinery,107,5006.32
2026-01-25,Latin America,Electronics,108,803.17
2026-01-25,Latin America,Textiles,91,352.6
2026-01-25,Middle East,Textiles,101,355.78
2026-01-26,North America,Chemicals,150,1285.8
2026-01-26,North America,Industrial Machinery,150,5351.8
2026-01-26,North America,Agricultural Produce,150,139.28
2026-01-26,Europe,Agricultural Produce,131,136.87
2026-01-26,Europe,Industrial Machinery,140,5031.93
2026-01-26,Asia Pacific,Electronics,143,872.36
2026-01-26,Latin America,Industrial Machinery,159,5172.96
2026-01-26,Middle East,Electronics,137,866.95
2026-01-27,North America,Textiles,152,350.01
2026-01-27,Europe,Industrial Machinery,134,4735.37
2026-01-27,Europe,Agricultural Produce,156,149.82
2026-01-27,Europe,Electronics,131,856.03
2026-01-27,Asia Pacific,Chemicals,160,1256.19
2026-01-27,Latin America,Agricultural Produce,141,154.49
2026-01-27,Latin America,Textiles,139,334.85
2026-01-27,Middle East,Industrial Machinery,139,5198.67
2026-01-27,Middle East,Agricultural Produce,130,149.51
2026-01-28,North America,Electronics,149,775.2
2026-01-28,North America,Agricultural Produce,148,152.55
2026-01-28,Europe,Industrial Machinery,159,5278.29
2026-01-28,Europe,Chemicals,143,1207.44
2026-01-28,Europe,Electronics,151,861.36
2026-01-28,Asia Pacific,Chemicals,140,1134.7
2026-01-28,Asia Pacific,Agricultural Produce,143,149.72
2026-01-28,Latin America,Agricultural Produce,144,139.65
2026-01-28,Middle East,Textiles,140,371.42
2026-01-28,Middle East,Chemicals,150,1244.66
2026-01-29,North America,Agricultural Produce,155,144.5
2026-01-29,North America,Textiles,151,328.26
2026-01-29,North America,Electronics,154,821.66
2026-01-29,Europe,Electronics,152,861.1
2026-01-29,Europe,Textiles,140,315.48
2026-01-29,Europe,Chemicals,153,1199.75
2026-01-29,Asia Pacific,Agricultural Produce,161,146.29
2026-01-29,Latin America,Agricultural Produce,154,158.02
2026-01-29,Latin America,Industrial Machinery,153,5010.74
2026-01-29,Middle East,Electronics,144,797.37
2026-01-29,Middle East,Industrial Machinery,157,5210.67
2026-01-30,North America,Textiles,146,376.26
2026-01-30,Europe,Textiles,137,316.35
2026-01-30,Europe,Agricultural Produce,138,137.41
2026-01-30,Asia Pacific,Textiles,149,371.49
2026-01-30,Asia Pacific,Electronics,156,810.81
2026-01-30,Latin America,Industrial Machinery,145,4825.76
2026-01-30,Latin America,Chemicals,152,1187.3
2026-01-30,Latin America,Textiles,140,321.15
2026-01-30,Middle East,Textiles,135,316.23
2026-01-30,Middle East,Industrial Machinery,145,5474.2
2026-01-31,North America,Electronics,90,783.82
2026-01-31,North America,Chemicals,107,1171.18
2026-01-31,Europe,Industrial Machinery,90,4887.48
2026-01-31,Asia Pacific,Electronics,83,720.94
2026-01-31,Asia Pacific,Agricultural Produce,87,148.05
2026-01-31,Latin America,Textiles,108,339.98
2026-01-31,Latin America,Electronics,100,801.77
2026-01-31,Latin America,Agricultural Produce,104,161.87
2026-01-31,Middle East,Chemicals,93,1138.87
2026-01-31,Middle East,Electronics,93,844.4
2026-01-31,Middle East,Agricultural Produce,111,147.67
2026-02-01,North America,Textiles,84,363.24
2026-02-01,North America,Electronics,107,843.79
2026-02-01,Europe,Textiles,85,350.27
2026-02-01,Europe,Agricultural Produce,90,154.75
2026-02-01,Asia Pacific,Industrial Machinery,91,5376.56
2026-02-01,Latin America,Agricultural Produce,91,160.94
